"codprov";"nombre_provincia";"media_sonido";"media_imagen";"media_usabilidad";"media_general"
"24";"León";"0";"1";"1";"5,7666666666666667"
"33";"Asturias";"1";"0";"1";"4,2333333333333333"
"17";"Girona";"1";"2";"3";"6,4000000000000000"
"48";"Vizcaya";"2";"1";"0";"4,8000000000000000"
"30";"Murcia";"0";"1";"2";"5,6333333333333333"
"35";"Las Palmas";"1";"0";"1";"5,6666666666666667"
"04";"Almería";"2";"0";"2";"5,6000000000000000"
"45";"Toledo";"0";"1";"1";"4,7333333333333333"
"41";"Sevilla";"3";"0";"1";"5,6666666666666667"
"22";"Huesca";"3";"1";"1";"5,7666666666666667"
"51";"Ceuta";"0";"0";"1";"5,2666666666666667"
"46";"Valencia";"2";"2";"1";"5,8000000000000000"
"36";"Pontevedra";"1";"0";"1";"5,0000000000000000"
"27";"Lugo";"0";"2";"1";"5,3666666666666667"
"31";"Navarra";"4";"0";"1";"5,6000000000000000"
"11";"Cádiz";"0";"1";"2";"5,4333333333333333"
"50";"Zaragoza";"1";"1";"2";"6,6666666666666667"
"43";"Tarragona";"1";"1";"1";"5,2333333333333333"
"09";"Burgos";"0";"0";"0";"5,5333333333333333"
"16";"Cuenca";"0";"0";"1";"4,9666666666666667"
"42";"Soria";"1";"0";"1";"4,4666666666666667"
"26";"La Rioja";"1";"2";"1";"5,6000000000000000"
"08";"Barcelona";"0";"0";"0";"4,5333333333333333"
"49";"Zamora";"0";"0";"0";"4,8000000000000000"
"12";"Castellón";"2";"3";"1";"6,5333333333333333"
"10";"Cáceres";"0";"3";"2";"5,6000000000000000"
"06";"Badajoz";"0";"3";"0";"5,7666666666666667"
"13";"Ciudad Real";"0";"2";"0";"5,0000000000000000"
"03";"Alicante";"0";"0";"1";"5,1333333333333333"
"47";"Valladolid";"0";"0";"0";"4,8000000000000000"
"28";"Madrid";"0";"2";"1";"5,9000000000000000"
"15";"A Coruña";"0";"0";"2";"5,6333333333333333"
"01";"Álava";"1";"1";"3";"5,9666666666666667"
"52";"Melilla";"1";"0";"2";"5,9000000000000000"
"40";"Segovia";"2";"0";"0";"4,8333333333333333"
"39";"Cantabria";"0";"0";"2";"5,2333333333333333"
"19";"Guadalajara";"2";"2";"1";"6,2666666666666667"
"23";"Jaén";"0";"1";"1";"5,9666666666666667"
"20";"Guipúzcoa";"2";"0";"1";"5,8000000000000000"
"25";"Lleida";"0";"1";"4";"6,3000000000000000"
"14";"Córdoba";"0";"1";"2";"6,1000000000000000"
"44";"Teruel";"0";"1";"1";"4,7000000000000000"
"02";"Albacete";"2";"0";"1";"5,2333333333333333"
"34";"Palencia";"0";"3";"0";"5,6333333333333333"
"07";"Islas Baleares";"1";"1";"1";"6,0000000000000000"
"18";"Granada";"1";"3";"2";"5,9333333333333333"
"38";"Santa Cruz de Tenerife";"2";"1";"0";"5,1000000000000000"
"32";"Ourense";"4";"1";"0";"5,8333333333333333"
"05";"Ávila";"1";"1";"2";"5,8000000000000000"
"29";"Málaga";"0";"1";"1";"5,5666666666666667"
"37";"Salamanca";"2";"1";"1";"6,5333333333333333"
"21";"Huelva";"2";"0";"2";"4,9666666666666667"
